candidate_id,metric_name,metric_name_ru,metric_role,requires_probability,requires_binary_prediction,sensitive_to_class_imbalance,reason,source_basis,notes
openml_electricity_151,roc_auc,площадь под ROC-кривой,primary,yes,no,medium,Базовая ранговая метрика для бинарной классификации.,scikit-learn classification metrics,
openml_electricity_151,pr_auc,площадь под кривой точность-полнота,secondary,yes,no,high,Нужна для проверки конфликта метрик и устойчивости вывода.,scikit-learn classification metrics,
openml_electricity_151,f1,гармоническое среднее точности и полноты,secondary,no,yes,high,Нужна для проверки конфликта метрик и устойчивости вывода.,scikit-learn classification metrics,Зависит от порога бинарного решения.
openml_electricity_151,balanced_accuracy,сбалансированная точность,secondary,no,yes,medium,Нужна для проверки конфликта метрик и устойчивости вывода.,scikit-learn classification metrics,
openml_electricity_151,log_loss,логарифмическая потеря,secondary,yes,no,medium,Нужна для проверки конфликта метрик и устойчивости вывода.,scikit-learn classification metrics,Требует корректных вероятностных предсказаний.
openml_electricity_151,brier_score,оценка качества вероятностного прогноза Брайера,secondary,yes,no,medium,Нужна для проверки конфликта метрик и устойчивости вывода.,scikit-learn classification metrics,Требует корректных вероятностных предсказаний.
openml_miniboone_41150,roc_auc,площадь под ROC-кривой,primary,yes,no,medium,Базовая ранговая метрика для бинарной классификации.,scikit-learn classification metrics,
openml_miniboone_41150,pr_auc,площадь под кривой точность-полнота,secondary,yes,no,high,Нужна для проверки конфликта метрик и устойчивости вывода.,scikit-learn classification metrics,
openml_miniboone_41150,f1,гармоническое среднее точности и полноты,secondary,no,yes,high,Нужна для проверки конфликта метрик и устойчивости вывода.,scikit-learn classification metrics,Зависит от порога бинарного решения.
openml_miniboone_41150,balanced_accuracy,сбалансированная точность,secondary,no,yes,medium,Нужна для проверки конфликта метрик и устойчивости вывода.,scikit-learn classification metrics,
openml_miniboone_41150,log_loss,логарифмическая потеря,secondary,yes,no,medium,Нужна для проверки конфликта метрик и устойчивости вывода.,scikit-learn classification metrics,Требует корректных вероятностных предсказаний.
openml_miniboone_41150,brier_score,оценка качества вероятностного прогноза Брайера,secondary,yes,no,medium,Нужна для проверки конфликта метрик и устойчивости вывода.,scikit-learn classification metrics,Требует корректных вероятностных предсказаний.
openml_click_prediction_small_41434,roc_auc,площадь под ROC-кривой,secondary,yes,no,medium,"Нужна как стандартная ранговая метрика, но не должна быть единственной при дисбалансе.",scikit-learn classification metrics,
openml_click_prediction_small_41434,pr_auc,площадь под кривой точность-полнота,primary,yes,no,high,Выраженный дисбаланс классов; положительный класс click=1 составляет меньшинство.,scikit-learn classification metrics,
openml_click_prediction_small_41434,f1,гармоническое среднее точности и полноты,secondary,no,yes,high,Нужна для проверки конфликта метрик при дисбалансе и идентификаторных признаках.,scikit-learn classification metrics,Зависит от порога бинарного решения.
openml_click_prediction_small_41434,balanced_accuracy,сбалансированная точность,secondary,no,yes,medium,Нужна для проверки конфликта метрик при дисбалансе и идентификаторных признаках.,scikit-learn classification metrics,
openml_click_prediction_small_41434,log_loss,логарифмическая потеря,secondary,yes,no,medium,Нужна для проверки конфликта метрик при дисбалансе и идентификаторных признаках.,scikit-learn classification metrics,Требует корректных вероятностных предсказаний.
openml_click_prediction_small_41434,brier_score,оценка качества вероятностного прогноза Брайера,secondary,yes,no,medium,Нужна для проверки конфликта метрик при дисбалансе и идентификаторных признаках.,scikit-learn classification metrics,Требует корректных вероятностных предсказаний.
