candidate_id,source_name,source_dataset_id,dataset_name,source_url,license,citation_required,task_type,target_name,target_description,n_rows,n_features,n_classes,has_missing_values,n_numeric_features,n_categorical_features,has_high_cardinality_features,time_column_candidate,group_column_candidate,default_split_available,possible_split_protocols,known_leakage_risks,class_imbalance_notes,compute_risk,overuse_risk,ethical_risk,preliminary_score,status,decision_reason,date_reviewed,reviewer,notes
openml_electricity_151,OpenML,151,electricity,https://www.openml.org/search?type=data&status=active&id=151,Public,TO_VERIFY,classification,class,Electricity price movement / UP-DOWN,45312,9,2,no,7,2,TO_VERIFY,yes,unknown,TO_VERIFY,random; stratified; temporal_if_timestamp_usable,temporal_split_sensitivity_confirmed_diagnostic_TO_VERIFY,TO_VERIFY,low,medium,low,,temporal_sensitivity_candidate,"REPORT_31: retained as temporal/split-sensitivity candidate after temporal holdout contour; hist_gradient_boosting temporal ROC AUC=0.838688 versus first random ROC AUC=0.869187. Use for split-sensitivity and temporal-order analysis, not as ordinary independent tabular benchmark.",2026-05-07,ChatGPT,Temporal candidate for split-sensitivity checks.; OpenML target=class; OpenML licence=Public; OpenML paper_url=http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.43.9013; OpenML original_data_url=http://www.inescporto.pt/~jgama/ales/ales_5.html; REPORT_31 status update: temporal sensitivity candidate; date/day/period used for ordering only in diagnostic temporal split.
openml_miniboone_41150,OpenML,41150,MiniBooNE,https://www.openml.org/search?type=data&status=active&id=41150,"CC BY 4.0 conservative release control; OpenML mirror metadata CC0 conflict",yes,classification,signal,Signal/background classification,130064,51,2,no,50,1,no_or_low_TO_VERIFY,no,unknown,TO_VERIFY,random; stratified,no_primary_leakage_risk_identified_in_report31_diagnostic_TO_VERIFY,TO_VERIFY,medium,medium,low,,primary_tabular_candidate,"REPORT_31: promoted to primary stable tabular OpenML candidate after repeated stratified diagnostic contour; hist_gradient_boosting mean ROC AUC=0.983444, ROC AUC std=0.000595, PR AUC=0.955148 across 5 seeds. ST08_05 reconciled lineage and applies UCI CC BY 4.0 attribution conservatively; public inclusion remains conditional on separately authorized attribution artifacts.",2026-08-20,Codex,"Large numeric classification candidate.; OpenML target=signal; UCI dataset 199 DOI=10.24432/C5QC87 current license=CC BY 4.0; OpenML mirror 41150 metadata license=CC0 retained as conflict; raw data/cache and direct sample assets excluded from public repository; REPORT_31 diagnostic results only; bounded registered claim."
openml_click_prediction_small_41434,OpenML,41434,Click_prediction_small,https://www.openml.org/search?type=data&status=active&id=41434,Public,TO_VERIFY,classification,click,Click prediction,39948,12,2,no,5,7,TO_VERIFY,unknown,unknown,TO_VERIFY,random; stratified,identifier_feature_leakage_risk_diagnostic,TO_VERIFY,low,medium,low,,leakage_risk_diagnostic_hold,"REPORT_31: not promoted to primary candidate; safe numeric contour remains weak and identifier contour is explicitly leakage-risk diagnostic. Safe logistic ROC AUC=0.609511, F1=0.011765; limited identifier contour ROC AUC=0.632015, F1=0.236036, but cannot be used as final quality estimate.",2026-05-07,ChatGPT,Behavioral classification candidate.; OpenML target=click; OpenML licence=Public; OpenML original_data_url=https://www.openml.org/data/v1/download/184157/Click_prediction_small.arff; REPORT_31 status update: retained only as leakage-risk diagnostic hold; not a primary candidate.
uci_online_shoppers,UCI,,Online Shoppers Purchasing Intention,https://archive.ics.uci.edu/dataset/468/online+shoppers+purchasing+intention+dataset,TO_VERIFY,yes,classification,Revenue,Whether the session ended in purchase,12330,17,2,TO_VERIFY,,,TO_VERIFY,weak,no,TO_VERIFY,random; stratified,TO_VERIFY,negative_class_majority_TO_VERIFY,low,medium,low,,candidate,Good candidate for metric-conflict and class-imbalance checks.,2026-05-07,ChatGPT,Candidate for first classification dataset card.
uci_appliances_energy,UCI,,Appliances Energy Prediction,https://archive.ics.uci.edu/dataset/374/appliances+energy+prediction,TO_VERIFY,yes,regression,Appliances,Energy use of appliances,19735,29,,TO_VERIFY,TO_VERIFY,TO_VERIFY,no_TO_VERIFY,yes,no,TO_VERIFY,random; temporal,TO_VERIFY,not_applicable,low,medium,low,,candidate,Good temporal regression candidate; regression scope must remain limited.,2026-05-07,ChatGPT,Candidate for temporal split checks.
uci_metro_traffic,UCI,,Metro Interstate Traffic Volume,https://archive.ics.uci.edu/dataset/492/metro+interstate+traffic+volume,TO_VERIFY,yes,regression,traffic_volume,Hourly traffic volume,48204,8,,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,yes,no,TO_VERIFY,random; temporal,TO_VERIFY,not_applicable,low,medium,low,,candidate,Good temporal regression candidate; risk of drifting into time-series forecasting.,2026-05-07,ChatGPT,Candidate for temporal regression.
uci_bank_marketing,UCI,222,Bank Marketing,https://archive.ics.uci.edu/dataset/222/bank+marketing,TO_VERIFY,yes,classification,y,Whether the client subscribed a term deposit,45211,17,2,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,possible,unknown,TO_VERIFY,random; stratified,duration_feature_risk,likely_imbalanced,low,high,medium,,conditional,Useful but overused; duration feature requires leakage-risk discussion.,2026-05-07,ChatGPT,Conditional candidate only.
uci_cdc_diabetes,UCI,891,CDC Diabetes Health Indicators,https://archive.ics.uci.edu/dataset/891/cdc+diabetes+health+indicators,TO_VERIFY,yes,classification,Diabetes_binary_or_multiclass,Diabetes / prediabetes / healthy status,253680,21,2_or_3,TO_VERIFY,TO_VERIFY,TO_VERIFY,no_TO_VERIFY,no,no,TO_VERIFY,random; stratified,TO_VERIFY,possible_imbalance,medium,high,medium,,conditional,"No principled objection from John, but medical domain and overuse require careful review.",2026-05-07,ChatGPT,Conditional health-related classification candidate.
openml_amazon_employee_access,OpenML/Kaggle,TO_VERIFY,Amazon Employee Access,TO_VERIFY,TO_VERIFY,TO_VERIFY,classification,ACTION_or_target_TO_VERIFY,Whether access should be granted,,,2,TO_VERIFY,,,yes,unknown,unknown,TO_VERIFY,random; stratified,TO_VERIFY,TO_VERIFY,low_to_medium,medium,medium,,conditional,"Kaggle account acceptable for John, but license/provenance must be checked.",2026-05-07,ChatGPT,Categorical-feature stress candidate.
tabred_pool_candidate,TabReD,,TabReD candidate pool,https://github.com/yandex-research/tabred,TO_VERIFY,yes,classification_or_regression,TO_SELECT,To be selected after access review,,,,TO_VERIFY,,,TO_VERIFY,yes,unknown,yes,time-based; random_comparison,TO_VERIFY,TO_VERIFY,medium,low_to_medium,TO_VERIFY,,conditional,John is ready to use Kaggle-account sources; still requires access/license/setup review.,2026-05-07,ChatGPT,Methodological anchor; do not make it the whole project.
