protocol_id,candidate_id,element_id,element_type,decision_ru,parameter_value,status,blocked_action_ru,evidence_source,next_action_for_john
report32_miniboone_minimal_research,openml_miniboone_41150,dataset_lock,data,Использовать только OpenML ID 41150 / MiniBooNE.,openml_dataset_id=41150,approved_for_report33,Не менять источник данных без отдельного отчета.,data_registry/dataset_candidate_registry.csv; OpenML dataset page https://www.openml.org/d/41150,Сохранить протокол; код не менять до REPORT_33.
report32_miniboone_minimal_research,openml_miniboone_41150,target_lock,target,Использовать целевую переменную signal; диагностический положительный класс True.,target_name=signal; positive_class=True,approved_for_report33,Не переопределять положительный класс без отдельного отчета.,openml_second_diagnostic_scores.csv; dataset_candidate_registry.csv,Нет действия.
report32_miniboone_minimal_research,openml_miniboone_41150,feature_lock,features,Использовать только числовые признаки ParticleID_0 ... ParticleID_49.,50 numeric features,approved_for_report33,Не добавлять и не исключать признаки на этапе REPORT_33.,openml_second_diagnostic_scores.csv; openml_feature_preprocessing_plan.csv,Нет действия.
report32_miniboone_minimal_research,openml_miniboone_41150,missing_value_policy,data_quality,При обнаружении пропусков остановить выполнение до отдельного протокола.,fail_on_missing=True,approved_for_report33,Не импутировать пропуски автоматически.,REPORT_25 protocol; diagnostic notebook behavior,Нет действия.
report32_miniboone_minimal_research,openml_miniboone_41150,outer_evaluation_split,split,Использовать повторную стратифицированную k-блочную проверку.,"RepeatedStratifiedKFold(n_splits=5,n_repeats=2,random_state=20260507)",approved_for_report33,Не использовать эти же блоки для подбора гиперпараметров.,scikit-learn RepeatedStratifiedKFold documentation,Нет действия.
report32_miniboone_minimal_research,openml_miniboone_41150,model_dummy_prior,model,Оставить базовый контрольный классификатор dummy_prior.,DummyClassifier(strategy=prior),approved_for_report33,Не исключать базовый контроль.,openml_second_diagnostic_summary.csv,Нет действия.
report32_miniboone_minimal_research,openml_miniboone_41150,model_logistic_regression,model,Оставить логистическую регрессию со стандартизацией внутри конвейера обработки.,"Pipeline(StandardScaler, LogisticRegression(max_iter=1000, random_state=20260507))",approved_for_report33,Не подгонять StandardScaler до разбиения.,scikit-learn Pipeline documentation; openml_second_diagnostic_summary.csv,Нет действия.
report32_miniboone_minimal_research,openml_miniboone_41150,model_hist_gradient_boosting,model,Оставить HistGradientBoostingClassifier как нелинейный древовидный контур.,"HistGradientBoostingClassifier(max_iter=100, learning_rate=0.1, random_state=20260507)",approved_for_report33,Не выполнять подбор гиперпараметров на этом этапе.,openml_second_diagnostic_summary.csv,Нет действия.
report32_miniboone_minimal_research,openml_miniboone_41150,metrics,metrics,"Сохранять ROC AUC, PR AUC, F1, balanced accuracy, log loss, Brier score.",roc_auc; pr_auc; f1; balanced_accuracy; log_loss; brier_score,approved_for_report33,Не выбирать одну метрику задним числом после просмотра результатов.,scikit-learn model evaluation documentation; REPORT_24 metric plan,Нет действия.
report32_miniboone_minimal_research,openml_miniboone_41150,outputs,outputs,"Сохранить строки внешних блоков, сводку метрик, предупреждения и среду выполнения.",openml_miniboone_research_scores.csv; openml_miniboone_research_summary.csv; openml_miniboone_research_warnings.csv; openml_miniboone_research_environment.csv,approved_for_report33,Не перезаписывать результаты второго диагностического контура.,REPORT_32 design decision,Нет действия.
