requirement_id,dimension_id,dimension_name,requirement,authoritative_basis,local_evidence_paths,verification_method,pass_rule,fail_rule,blocked_rule,aggregation_role,design_status
ST08-REQ-01,D01,mission_and_scope,"The current project purpose remains the bounded audit of evidence for an experimental ML claim, not a universal model-ranking claim.","roadmap.md §1; stage_01_project_scope.md §§3-8; NIST AI RMF MAP 1.1 and MANAGE 1.1","roadmap.md|docs/stages/stage_01_project_scope.md|configs/claims/miniboone_hgb_vs_logreg_claim_v01.csv",documentary_semantic_trace,"Purpose, scope, exclusions, and claim boundary agree in all current sources.","Any current source asserts a broader or conflicting purpose.","A required current source is missing or cannot be interpreted without an owner decision.",mandatory,NOT_EVALUATED
ST08-REQ-02,D01,mission_and_scope,"Stages 1-7 and their accepted outcomes are traceable to the present project state.","ISO/IEC/IEEE 15288:2023; NASA NPR 7123.1D Chapter 5","roadmap.md|docs/stages/stage_01_project_scope.md|docs/stages/stage_02_data_and_candidate_selection.md|docs/stages/stage_03_diagnostic_experiments.md|docs/stages/stage_04_primary_candidate_validation.md|docs/stages/stage_05_claim_audit_protocol.md|docs/stages/stage_06_packaging_and_publication.md|docs/stages/stage_07_code_modularization.md",requirements_traceability_matrix,"Every stage has an identifiable objective, disposition, and current evidence link with no unresolved contradiction.","At least one stage lacks a disposition/evidence link or contradicts the current state.","A required historical decision cannot be recovered from registered evidence.",mandatory,NOT_EVALUATED
ST08-REQ-03,D01,mission_and_scope,"Deferred outputs such as CLI, dashboard, bilingual documentation, and public repository are classified as required, optional, deferred, or out of current scope by John-approved criteria.","ISO/IEC/IEEE 29148:2018; NIST requirements verification characteristics","docs/stages/stage_01_project_scope.md|roadmap.md",requirements_classification_review,"Each named output has one unambiguous disposition and acceptance consequence.","An output is silently treated as complete, irrelevant, or required without a registered disposition.","John ownership or intended MVP boundary is materially ambiguous.",mandatory,NOT_EVALUATED
ST08-REQ-04,D02,scientific_evidence,"The canonical chain claim to protocol/config to execution evidence to verdict is complete and path-valid.","NIST AI RMF MEASURE; National Academies reproducibility guidance","configs/claims/miniboone_hgb_vs_logreg_claim_v01.csv|data_registry/openml_miniboone_stage05_current_effect_readout.csv|docs/stages/stage_05_claim_audit_protocol.md",scientific_traceability_check,"All mandatory chain elements exist, resolve, and preserve the registered bounded interpretation.","Any mandatory element is missing, points to an obsolete artifact, or changes verdict meaning.","A necessary provenance link cannot be established from registered files.",mandatory,NOT_EVALUATED
ST08-REQ-05,D02,scientific_evidence,"Registered seeds, split geometry, metric direction, schemas, rounding semantics, verdict policy, and canonical numeric artifacts remain internally consistent.","NIST AI RMF MEASURE; NIST SP 500-234","configs/model_spaces/|configs/stress_tests/|configs/verdict_policies/|data_registry/",schema_key_relation_and_hash_validation,"All registered invariants and protected hashes pass exact or contract-defined validation.","Any registered invariant is violated or an unexplained scientific artifact mismatch exists.","The original environment/provenance is insufficient for a required exact comparison and no valid disposition exists.",mandatory,NOT_EVALUATED
ST08-REQ-06,D02,scientific_evidence,"Public scientific language states the observed scope, uncertainty, limitations, and computational-cost disclosure without converting local evidence into universal superiority.","NIST AI RMF MAP and MEASURE; Stage 6 public-claim contract","docs/stages/stage_05_claim_audit_protocol.md|docs/stages/stage_06_packaging_and_publication.md|roadmap.md",claim_language_and_limitation_review,"Every public-facing current formulation includes the required bounded scope and disclosures.","A current formulation omits a mandatory limitation or implies universal superiority.","No authoritative current public formulation has yet been designated.",mandatory,NOT_EVALUATED
ST08-REQ-07,D03,software_verification,"Critical Stage 5 computation and verdict-policy logic has a supported modular implementation, while notebooks remain thin orchestration.","ISO/IEC 25010:2023; NIST SP 500-234","src/mlcra/|notebooks/04_dataset_smoke_experiments.ipynb|docs/stages/stage_07_code_modularization.md",ast_api_and_traceability_inspection,"All critical registered operations map to module contracts and orchestration cells contain no unapproved top-level implementation.","Critical logic remains notebook-only or a supported contract is absent.","Criticality or ownership of a discovered helper is materially ambiguous.",mandatory,NOT_EVALUATED
ST08-REQ-08,D03,software_verification,"Syntax, schemas, notebooks, deterministic fixtures, negative mutations, historical regressions, and cumulative pilot pass without weakened requirements.","NIST IR 8397; NIST SP 500-234","scripts/agent_verify.py|src/mlcra/|notebooks/|configs/|data_registry/",automated_cumulative_verification,"The registered baseline, focused checks, and full cumulative pilot all return PASS with no FAIL/BLOCKED.","Any required check returns FAIL or a requirement was weakened to obtain PASS.","A required check cannot execute because a prerequisite is unavailable.",mandatory,NOT_EVALUATED
ST08-REQ-09,D03,software_verification,"The supported software interface and unsupported research-only interfaces are explicitly distinguished.","ISO/IEC 25010:2023; ISO/IEC/IEEE 29148:2018","src/mlcra/|scripts/|notebooks/|docs/stages/stage_06_packaging_and_publication.md",interface_inventory_and_contract_review,"Every externally described interface is implemented, tested, and labelled supported; research-only interfaces are labelled accordingly.","An externally described interface is absent, untested, or conflicts with its implementation.","The intended supported interface requires a John scope decision.",mandatory,NOT_EVALUATED
ST08-REQ-10,D04,reproducibility_and_provenance,"A fresh qualified environment can be reconstructed from versioned dependency and Python constraints.","National Academies reproducibility guidance; Python Packaging User Guide","pyproject.toml|requirements.txt|environment.yml|data_registry/*environment*.csv",clean_environment_reconstruction,"A declared environment specification installs in a clean environment and reports compatible registered versions.","No usable specification exists or clean reconstruction fails for an in-scope reason.","Required package infrastructure or offline dependency material is unavailable.",mandatory,NOT_EVALUATED
