protocol_id,candidate_id,outer_split_number,outer_repeat_number,outer_fold_number,model_id,selected_parameter_set_id,selected_params_json,inner_best_average_precision,inner_cv_n_splits,inner_cv_random_state,inner_candidate_count,row_status
miniboone_nested_cv_v02,openml_miniboone_41150,1,1,1,hist_gradient_boosting,hgb_b5168b128e78,"{""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 150, ""max_leaf_nodes"": 63}",0.9590593369250454,3,20260507,16,nested_research_draft
miniboone_nested_cv_v02,openml_miniboone_41150,2,1,2,hist_gradient_boosting,hgb_b5168b128e78,"{""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 150, ""max_leaf_nodes"": 63}",0.9577070041517844,3,20260508,16,nested_research_draft
miniboone_nested_cv_v02,openml_miniboone_41150,3,1,3,hist_gradient_boosting,hgb_b5168b128e78,"{""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 150, ""max_leaf_nodes"": 63}",0.9567867755088201,3,20260509,16,nested_research_draft
miniboone_nested_cv_v02,openml_miniboone_41150,4,1,4,hist_gradient_boosting,hgb_8316cb7622a5,"{""l2_regularization"": 0.01, ""learning_rate"": 0.1, ""max_iter"": 150, ""max_leaf_nodes"": 63}",0.9582029903633534,3,20260510,16,nested_research_draft
miniboone_nested_cv_v02,openml_miniboone_41150,5,1,5,hist_gradient_boosting,hgb_b5168b128e78,"{""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 150, ""max_leaf_nodes"": 63}",0.9578368215014046,3,20260511,16,nested_research_draft
miniboone_nested_cv_v02,openml_miniboone_41150,6,2,1,hist_gradient_boosting,hgb_b5168b128e78,"{""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 150, ""max_leaf_nodes"": 63}",0.9585991325869728,3,20260512,16,nested_research_draft
miniboone_nested_cv_v02,openml_miniboone_41150,7,2,2,hist_gradient_boosting,hgb_b5168b128e78,"{""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 150, ""max_leaf_nodes"": 63}",0.9571744178919541,3,20260513,16,nested_research_draft
miniboone_nested_cv_v02,openml_miniboone_41150,8,2,3,hist_gradient_boosting,hgb_8316cb7622a5,"{""l2_regularization"": 0.01, ""learning_rate"": 0.1, ""max_iter"": 150, ""max_leaf_nodes"": 63}",0.9579796726203931,3,20260514,16,nested_research_draft
miniboone_nested_cv_v02,openml_miniboone_41150,9,2,4,hist_gradient_boosting,hgb_b5168b128e78,"{""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 150, ""max_leaf_nodes"": 63}",0.9581022083180626,3,20260515,16,nested_research_draft
miniboone_nested_cv_v02,openml_miniboone_41150,10,2,5,hist_gradient_boosting,hgb_8316cb7622a5,"{""l2_regularization"": 0.01, ""learning_rate"": 0.1, ""max_iter"": 150, ""max_leaf_nodes"": 63}",0.9573738645324076,3,20260516,16,nested_research_draft
