change_kind,relative_path,reason
added,configs/project_readiness/st08_15_v0_1_0_post_release_review_and_v0_1_1_corrective_contract_v01.json,ST08_15 post-release decision corrective semantics phase and owner-gate contract
added,scripts/st08_15_v0_1_0_post_release_review_and_v0_1_1_corrective_contract_assurance.py,ST08_15 fail-closed contract manifest evidence and mutation assurance
added,tests/test_v0_1_0_post_release_review_and_v0_1_1_corrective_contract_st08_15.py,ST08_15 positive and negative contract tests
added,data_registry/st08_15_v0_1_1_corrective_contract_manifest_v01.csv,ST08_15 successor canonical Git path SHA-256 and size manifest
added,data_registry/st08_15_v0_1_0_post_release_review_and_v0_1_1_corrective_contract_evidence_v01.json,ST08_15 observed review decision verification and risk evidence
added,docs/agent/st08_15_v0_1_0_post_release_review_and_v0_1_1_corrective_contract_change_scope_v01.csv,ST08_15 exact planned and actual change scope
modified,.github/workflows/ci.yml,make ST08_15 contract mutations and final evidence the current CI gate while retaining v0.1.0 verification
modified,scripts/st08_09_release_assurance.py,bind published inventory to the ST08_15 successor manifest and require its CI commands
modified,configs/project_readiness/st08_06_public_repository_asset_manifest_v01.json,refresh exact repository inventory for the authorized ST08_15 paths
modified,docs/agent/pilot_change_scope_v01.csv,register the six new authorized ST08_15 paths
modified,docs/stages/stage_08_project_completion_and_release_readiness.md,record accepted ST08_14C and bounded ST08_15 outcome
modified,roadmap.md,record accepted ST08_14C and the proposed but unauthorized v0.1.1 sequence
