change_kind,relative_path,reason
modified,src/mlcra/application.py,ST08_11 task-aware claim dispatch numeric regression input protocol execution provenance verdict and verification
modified,src/mlcra/cli.py,ST08_11 user-facing classification and regression command description
added,src/mlcra/schemas/tabular_regression_claim_v01.schema.json,ST08_11 Draft 2020-12 fail-closed regression claim schema
added,configs/project_readiness/st08_11_tabular_regression_protocol_core_and_CLI_support_contract_v01.json,ST08_11 prospective task protocol risk and verification contract
added,tests/test_cli_st08_11.py,ST08_11 regression positive failure mutation determinism and classification-regression isolation tests
added,tests/fixtures/st08_11/regression_claim_v01.json,ST08_11 synthetic software-characterization claim fixture
added,tests/fixtures/st08_11/regression_data_v01.csv,ST08_11 synthetic nonlinear numeric-target CSV fixture
modified,README.md,document the bounded exchangeable-row regression workflow and scientific boundary in English
modified,README_RU.md,document the same bounded regression workflow and scientific boundary in Russian
modified,scripts/st08_10_documentation_assurance.py,validate the current ST08_11 bilingual surface and both installed walkthroughs
modified,tests/test_documentation_st08_10.py,keep documentation mutation assurance aligned with the current ST08_11 contract
modified,.github/workflows/ci.yml,run ST08_11 focused regression tests in source and clean-installed environments
modified,configs/project_readiness/st08_09_CI_security_and_release_candidate_assurance_contract_v01.json,require the new packaged regression schema in distribution archives
modified,tests/test_release_assurance_st08_09.py,necessary regression repair adding the newly required packaged schema to the synthetic wheel fixture
modified,configs/project_readiness/st08_06_public_repository_asset_manifest_v01.json,refresh the fail-closed public candidate inventory after ST08_11
modified,docs/agent/pilot_change_scope_v01.csv,register ST08_11 files in deterministic cumulative verification scope
modified,docs/stages/stage_08_project_completion_and_release_readiness.md,record John acceptance of ST08_10 and bounded ST08_11 evidence
modified,roadmap.md,record ST08_10 closure ST08_11 result and only proposed next block
added,data_registry/st08_11_tabular_regression_protocol_core_and_CLI_support_evidence_v01.json,record observed ST08_11 verification scientific boundary and change reconciliation
added,docs/agent/st08_11_tabular_regression_protocol_core_and_CLI_support_change_scope_v01.csv,ST08_11 exact planned and actual change scope
