candidate_id,model_id,include_in_first_contour,reason_ru,preprocessing_requirement,risk,notes
openml_electricity_151,dummy_prior,yes,Нужна тривиальная базовая точка сравнения.,Нет.,Не является полноценной моделью.,Использовать только как sanity baseline.
openml_electricity_151,logistic_regression,yes,Простая линейная базовая модель для временного и случайного разбиения.,Стандартизация числовых признаков внутри Pipeline.,Может не уловить нелинейности.,Важна как простая интерпретируемая точка сравнения.
openml_electricity_151,hist_gradient_boosting,yes,Нелинейная табличная модель для проверки отличия от логистической регрессии.,Минимальная числовая предобработка внутри Pipeline.,Победа может зависеть от разбиения.,Основная сложная модель для первого контура.
openml_electricity_151,random_forest_limited,conditional,"Полезен как независимая древовидная альтернатива, но может расширить вычисления.",Минимальная числовая предобработка.,Увеличение времени обучения.,Включать только если базовые две модели работают быстро.
openml_miniboone_41150,dummy_prior,yes,Нужна проверка против тривиального baseline.,Нет.,Не является конкурентной моделью.,Обязателен.
openml_miniboone_41150,logistic_regression,yes,Простая модель для крупной числовой классификации.,Стандартизация числовых признаков внутри Pipeline.,Может проиграть нелинейным моделям.,Основная простая модель.
openml_miniboone_41150,hist_gradient_boosting,yes,Сильная нелинейная модель для сравнения с простой линейной.,Без масштабирования; внутри Pipeline.,Вычислительная нагрузка на 130064 строках.,Ограничить параметры на первом этапе.
openml_miniboone_41150,random_forest_limited,conditional,"Полезен как дополнительная древовидная модель, но может быть тяжелым.",Без масштабирования.,Время обучения и память.,Добавлять после оценки времени HistGradientBoosting.
openml_click_prediction_small_41434,dummy_prior,yes,Нужна базовая точка при дисбалансе классов.,Нет.,"Может выглядеть приемлемо по accuracy, поэтому accuracy не использовать как первичную метрику.",Обязателен.
openml_click_prediction_small_41434,logistic_regression,yes_with_safe_identifier_policy,Простая модель для проверки сигнала без идентификаторов.,Исключить идентификаторы; кодировать оставшиеся категориальные признаки внутри Pipeline.,Качество может быть низким без идентификаторов.,Запускать только после применения безопасной политики идентификаторов.
openml_click_prediction_small_41434,hist_gradient_boosting,conditional_with_safe_identifier_policy,Нелинейная модель для сравнения с логистической регрессией.,Исключить идентификаторы; безопасно обработать категориальные признаки.,Категориальная обработка может усложнить первый контур.,Не запускать до утверждения preprocessing-протокола.
openml_click_prediction_small_41434,catboost_classifier,no_later,"Нативная работа с категориями интересна, но это внешняя зависимость и поздний этап.",Отдельный протокол категорий и идентификаторов.,Может быстро превратить проект в сравнение библиотек.,Отложить.
