candidate_id,split_protocol_id,split_protocol_name_ru,is_allowed,reason,risk,requires_additional_review,source_basis,notes
openml_electricity_151,stratified_random,стратифицированное случайное разбиение,yes,Бинарная классификация с умеренным дисбалансом классов; нужно сохранить доли классов.,Может смешивать прошлые и будущие наблюдения.,no,scikit-learn cross-validation and stratification practices,"Базовый протокол, но не единственный."
openml_electricity_151,repeated_stratified_random,повторное стратифицированное случайное разбиение,yes,Нужно оценить устойчивость вывода к зерну случайности и повторным разбиениям.,Не проверяет временной дрейф.,no,ML-CRA seed stability requirement; scikit-learn cross-validation,Использовать ограниченное число повторов на первом этапе.
openml_electricity_151,temporal_holdout,временное разбиение,yes,"Есть временные признаки date, day, period; набор имеет временную природу.",Нужно корректно восстановить порядок времени и не допустить перемешивания будущего с прошлым.,yes,OpenML electricity description; TabReD time-based split result,Главный протокол для проверки чувствительности к разбиению.
openml_electricity_151,group_split,групповое разбиение,no,Групповой идентификатор не обнаружен.,Искусственное групповое разбиение будет методологически необоснованным.,no,local feature preview,Не использовать без появления реального группового признака.
openml_miniboone_41150,stratified_random,стратифицированное случайное разбиение,yes,Бинарная классификация с умеренным дисбалансом классов.,Один split может дать случайно завышенный или заниженный вывод.,no,scikit-learn cross-validation,Базовый протокол.
openml_miniboone_41150,repeated_stratified_random,повторное стратифицированное случайное разбиение,yes,Нужна проверка устойчивости ранжирования моделей на повторных разбиениях.,Рост вычислительной нагрузки из-за 130064 строк.,no,ML-CRA seed stability requirement,На первом этапе ограничить число повторов.
openml_miniboone_41150,temporal_holdout,временное разбиение,no,Временные признаки не обнаружены.,Временное разбиение будет искусственным.,no,local feature preview,Не использовать.
openml_miniboone_41150,group_split,групповое разбиение,no,Групповые или идентификаторные признаки не обнаружены.,Нет естественной группы.,no,local feature preview,Не использовать.
openml_click_prediction_small_41434,stratified_random,стратифицированное случайное разбиение,yes,"Есть выраженный дисбаланс классов, нужно сохранить долю click=1.",При наличии идентификаторов случайное разбиение может облегчить запоминание.,no,local preview; scikit-learn cross-validation,"Базовый, но рискованный протокол."
openml_click_prediction_small_41434,repeated_stratified_random,повторное стратифицированное случайное разбиение,yes,Нужно проверить устойчивость вывода при дисбалансе классов.,Не устраняет риск запоминания идентификаторов.,no,ML-CRA seed stability requirement,Использовать только вместе с политикой идентификаторов.
openml_click_prediction_small_41434,group_by_user_id,групповое разбиение по user_id,conditional,"Есть признак user_id, но нужно проверить кардинальность и смысл.","Может быть слишком жестким или непригодным, если группы малые/неравномерные.",yes,local feature preview,Только после отдельного анализа идентификаторов.
openml_click_prediction_small_41434,identifier_policy_comparison,сравнение политик обработки идентификаторов,conditional,Нужно сравнить выводы при разных режимах обработки id-признаков.,"Политика кодирования может сама стать источником утечки, если применена до разбиения.",yes,scikit-learn leakage pitfalls; local feature preview,"Это не split в чистом виде, а диагностический протокол предобработки."
openml_click_prediction_small_41434,temporal_holdout,временное разбиение,no,Временные признаки не обнаружены.,Временное разбиение будет искусственным.,no,local feature preview,Не использовать без временного признака.
