candidate_id,column_name,old_value,new_value,change_reason_ru,requires_john_review
openml_miniboone_41150,status,candidate,primary_tabular_candidate,"REPORT_31: promoted to primary stable tabular OpenML candidate after repeated stratified diagnostic contour; hist_gradient_boosting mean ROC AUC=0.983444, ROC AUC std=0.000595, PR AUC=0.955148 across 5 seeds. Metadata/license verification remains required before final publication use.",yes
openml_miniboone_41150,decision_reason,Needs metadata and license verification.,"REPORT_31: promoted to primary stable tabular OpenML candidate after repeated stratified diagnostic contour; hist_gradient_boosting mean ROC AUC=0.983444, ROC AUC std=0.000595, PR AUC=0.955148 across 5 seeds. Metadata/license verification remains required before final publication use.","REPORT_31: promoted to primary stable tabular OpenML candidate after repeated stratified diagnostic contour; hist_gradient_boosting mean ROC AUC=0.983444, ROC AUC std=0.000595, PR AUC=0.955148 across 5 seeds. Metadata/license verification remains required before final publication use.",yes
openml_miniboone_41150,known_leakage_risks,TO_VERIFY,no_primary_leakage_risk_identified_in_report31_diagnostic_TO_VERIFY,"REPORT_31: promoted to primary stable tabular OpenML candidate after repeated stratified diagnostic contour; hist_gradient_boosting mean ROC AUC=0.983444, ROC AUC std=0.000595, PR AUC=0.955148 across 5 seeds. Metadata/license verification remains required before final publication use.",yes
openml_miniboone_41150,date_reviewed,2026-05-07,2026-05-07,"REPORT_31: promoted to primary stable tabular OpenML candidate after repeated stratified diagnostic contour; hist_gradient_boosting mean ROC AUC=0.983444, ROC AUC std=0.000595, PR AUC=0.955148 across 5 seeds. Metadata/license verification remains required before final publication use.",yes
openml_miniboone_41150,reviewer,ChatGPT,ChatGPT,"REPORT_31: promoted to primary stable tabular OpenML candidate after repeated stratified diagnostic contour; hist_gradient_boosting mean ROC AUC=0.983444, ROC AUC std=0.000595, PR AUC=0.955148 across 5 seeds. Metadata/license verification remains required before final publication use.",yes
openml_miniboone_41150,notes,Large numeric classification candidate.; OpenML target=signal; OpenML licence=CC0; OpenML original_data_url=http://archive.ics.uci.edu/ml/datasets/MiniBooNE particle identification#,Large numeric classification candidate.; OpenML target=signal; OpenML licence=CC0; OpenML original_data_url=http://archive.ics.uci.edu/ml/datasets/MiniBooNE particle identification#; REPORT_31 status update: primary stable tabular candidate; diagnostic results only; not final dataset selection.,"REPORT_31: promoted to primary stable tabular OpenML candidate after repeated stratified diagnostic contour; hist_gradient_boosting mean ROC AUC=0.983444, ROC AUC std=0.000595, PR AUC=0.955148 across 5 seeds. Metadata/license verification remains required before final publication use.",yes
openml_electricity_151,status,candidate,temporal_sensitivity_candidate,"REPORT_31: retained as temporal/split-sensitivity candidate after temporal holdout contour; hist_gradient_boosting temporal ROC AUC=0.838688 versus first random ROC AUC=0.869187. Use for split-sensitivity and temporal-order analysis, not as ordinary independent tabular benchmark.",yes
openml_electricity_151,decision_reason,"Needs metadata, license and temporal-column verification.","REPORT_31: retained as temporal/split-sensitivity candidate after temporal holdout contour; hist_gradient_boosting temporal ROC AUC=0.838688 versus first random ROC AUC=0.869187. Use for split-sensitivity and temporal-order analysis, not as ordinary independent tabular benchmark.","REPORT_31: retained as temporal/split-sensitivity candidate after temporal holdout contour; hist_gradient_boosting temporal ROC AUC=0.838688 versus first random ROC AUC=0.869187. Use for split-sensitivity and temporal-order analysis, not as ordinary independent tabular benchmark.",yes
openml_electricity_151,known_leakage_risks,TO_VERIFY,temporal_split_sensitivity_confirmed_diagnostic_TO_VERIFY,"REPORT_31: retained as temporal/split-sensitivity candidate after temporal holdout contour; hist_gradient_boosting temporal ROC AUC=0.838688 versus first random ROC AUC=0.869187. Use for split-sensitivity and temporal-order analysis, not as ordinary independent tabular benchmark.",yes
openml_electricity_151,date_reviewed,2026-05-07,2026-05-07,"REPORT_31: retained as temporal/split-sensitivity candidate after temporal holdout contour; hist_gradient_boosting temporal ROC AUC=0.838688 versus first random ROC AUC=0.869187. Use for split-sensitivity and temporal-order analysis, not as ordinary independent tabular benchmark.",yes
openml_electricity_151,reviewer,ChatGPT,ChatGPT,"REPORT_31: retained as temporal/split-sensitivity candidate after temporal holdout contour; hist_gradient_boosting temporal ROC AUC=0.838688 versus first random ROC AUC=0.869187. Use for split-sensitivity and temporal-order analysis, not as ordinary independent tabular benchmark.",yes
