claim_id,source_file,evidence_ru
report33_scores_complete,openml_miniboone_research_scores.csv,"Файл содержит 30 строк; распределение моделей: {'dummy_prior': 10, 'logistic_regression': 10, 'hist_gradient_boosting': 10}."
report33_summary_complete,openml_miniboone_research_summary.csv,"Файл содержит 3 строки: dummy_prior, hist_gradient_boosting, logistic_regression."
report33_warning_boundary,openml_miniboone_research_warnings.csv,Подбор гиперпараметров не выполнялся; результаты допустимы только как минимальная внешняя проверка утвержденного контура.
metric_summary_dummy_prior,openml_miniboone_research_summary.csv,dummy_prior: roc_auc_mean=0.500000000000; pr_auc_mean=0.280623385240; f1_mean=0.000000000000; balanced_accuracy_mean=0.500000000000; log_loss_mean=0.593541117669; brier_score_mean=0.201873900965.
metric_summary_hist_gradient_boosting,openml_miniboone_research_summary.csv,hist_gradient_boosting: roc_auc_mean=0.983476520048; pr_auc_mean=0.955592770532; f1_mean=0.895582185531; balanced_accuracy_mean=0.929307700378; log_loss_mean=0.147972331267; brier_score_mean=0.043603072194.
metric_summary_logistic_regression,openml_miniboone_research_summary.csv,logistic_regression: roc_auc_mean=0.939277978813; pr_auc_mean=0.867408325998; f1_mean=0.776990014308; balanced_accuracy_mean=0.834122400093; log_loss_mean=0.285299347609; brier_score_mean=0.085489214214.
environment_record,openml_miniboone_research_environment.csv,"Среда: python=3.12.0 (tags/v3.12.0:0fb18b0, Oct  2 2023, 13:03:39) [MSC v.1935 64 bit (AMD64)]; platform=Windows-2019Server-10.0.17763-SP0; openml=0.15.1; sklearn=1.8.0; pandas=3.0.2; numpy=2.4.4"
sklearn_nested_cv,https://scikit-learn.org/stable/auto_examples/model_selection/plot_nested_cross_validation_iris.html,"Nested CV используется, когда гиперпараметры нужно оптимизировать; невложенная оценка после выбора параметров может давать чрезмерно оптимистичную оценку."
sklearn_average_precision,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.average_precision_score.html,average_precision_score обобщает кривую precision-recall как взвешенное среднее precision по приростам recall.
sklearn_precision_recall,https://scikit-learn.org/stable/auto_examples/model_selection/plot_precision_recall.html,Precision-recall полезна при сильной несбалансированности классов.
sklearn_repeated_stratified_kfold,https://scikit-learn.org/stable/modules/generated/sklearn.model_selection.RepeatedStratifiedKFold.html,RepeatedStratifiedKFold повторяет стратифицированную k-блочную проверку с разной случайностью.
sklearn_hist_gradient_boosting,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.HistGradientBoostingClassifier.html,"HistGradientBoostingClassifier описан как гистограммный градиентный бустинг, быстрее обычного GradientBoostingClassifier на больших данных."
