stress_test_id,claim_id,run_group,protocol_variant_id,candidate_id,openml_dataset_id,dataset_name,target_name,target_class_0,target_class_1,positive_class_assumption,outer_random_state,outer_split_number,outer_repeat_number,outer_fold_number,outer_cv_n_splits,outer_cv_n_repeats,inner_cv_n_splits,inner_random_state,model_id,model_role,selected_parameter_set_id,selected_params_json,inner_best_average_precision,inner_candidate_count,feature_policy_id,feature_count,feature_names,n_train,n_test,train_positive_share,test_positive_share,roc_auc,average_precision,pr_auc,f1,balanced_accuracy,log_loss,brier_score,fit_seconds,predict_seconds,row_status,interpretation_allowed_ru
ST05_02_seed_stability_grid,miniboone_hgb_vs_logreg_average_precision_v01,nested_seed_stability_v01,nested_5x2_seed_grid_v01,openml_miniboone_41150,41150,MiniBooNE,signal,False,True,True,20260507,1,1,1,5,2,3,20260507,hist_gradient_boosting,tuned_candidate,hgb_b5168b128e78,"{""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 150, ""max_leaf_nodes"": 63}",0.9590593369250454,16,numeric_particleid_0_49_locked,50,ParticleID_0; ParticleID_1; ParticleID_2; ParticleID_3; ParticleID_4; ParticleID_5; ParticleID_6; ParticleID_7; ParticleID_8; ParticleID_9; ParticleID_10; ParticleID_11; ParticleID_12; ParticleID_13; ParticleID_14; ParticleID_15; ParticleID_16; ParticleID_17; ParticleID_18; ParticleID_19; ParticleID_20; ParticleID_21; ParticleID_22; ParticleID_23; ParticleID_24; ParticleID_25; ParticleID_26; ParticleID_27; ParticleID_28; ParticleID_29; ParticleID_30; ParticleID_31; ParticleID_32; ParticleID_33; ParticleID_34; ParticleID_35; ParticleID_36; ParticleID_37; ParticleID_38; ParticleID_39; ParticleID_40; ParticleID_41; ParticleID_42; ParticleID_43; ParticleID_44; ParticleID_45; ParticleID_46; ParticleID_47; ParticleID_48; ParticleID_49,104051,26013,0.28062200267176673,0.2806289163110752,0.9839710361780579,0.9563547384495451,0.9563547384495451,0.8973698481561823,0.9310989100683797,0.144375040164541,0.04255211916900973,57.129285,0.129095,stage05_seed_stability_draft,Разрешен только аудит устойчивости к зернам случайности; строка не является самостоятельным итоговым выводом.
ST05_02_seed_stability_grid,miniboone_hgb_vs_logreg_average_precision_v01,nested_seed_stability_v01,nested_5x2_seed_grid_v01,openml_miniboone_41150,41150,MiniBooNE,signal,False,True,True,20260507,1,1,1,5,2,,,dummy_prior,control,not_applicable_control_model,,,,numeric_particleid_0_49_locked,50,ParticleID_0; ParticleID_1; ParticleID_2; ParticleID_3; ParticleID_4; ParticleID_5; ParticleID_6; ParticleID_7; ParticleID_8; ParticleID_9; ParticleID_10; ParticleID_11; ParticleID_12; ParticleID_13; ParticleID_14; ParticleID_15; ParticleID_16; ParticleID_17; ParticleID_18; ParticleID_19; ParticleID_20; ParticleID_21; ParticleID_22; ParticleID_23; ParticleID_24; ParticleID_25; ParticleID_26; ParticleID_27; ParticleID_28; ParticleID_29; ParticleID_30; ParticleID_31; ParticleID_32; ParticleID_33; ParticleID_34; ParticleID_35; ParticleID_36; ParticleID_37; ParticleID_38; ParticleID_39; ParticleID_40; ParticleID_41; ParticleID_42; ParticleID_43; ParticleID_44; ParticleID_45; ParticleID_46; ParticleID_47; ParticleID_48; ParticleID_49,104051,26013,0.28062200267176673,0.2806289163110752,0.5,0.2806289163110752,0.2806289163110752,0.0,0.5,0.5935463243336803,0.20187632768894515,0.002797,0.010034,stage05_seed_stability_draft,Разрешен только аудит устойчивости к зернам случайности; строка не является самостоятельным итоговым выводом.
ST05_02_seed_stability_grid,miniboone_hgb_vs_logreg_average_precision_v01,nested_seed_stability_v01,nested_5x2_seed_grid_v01,openml_miniboone_41150,41150,MiniBooNE,signal,False,True,True,20260507,1,1,1,5,2,,,logistic_regression,control,not_applicable_control_model,,,,numeric_particleid_0_49_locked,50,ParticleID_0; ParticleID_1; ParticleID_2; ParticleID_3; ParticleID_4; ParticleID_5; ParticleID_6; ParticleID_7; ParticleID_8; ParticleID_9; ParticleID_10; ParticleID_11; ParticleID_12; ParticleID_13; ParticleID_14; ParticleID_15; ParticleID_16; ParticleID_17; ParticleID_18; ParticleID_19; ParticleID_20; ParticleID_21; ParticleID_22; ParticleID_23; ParticleID_24; ParticleID_25; ParticleID_26; ParticleID_27; ParticleID_28; ParticleID_29; ParticleID_30; ParticleID_31; ParticleID_32; ParticleID_33; ParticleID_34; ParticleID_35; ParticleID_36; ParticleID_37; ParticleID_38; ParticleID_39; ParticleID_40; ParticleID_41; ParticleID_42; ParticleID_43; ParticleID_44; ParticleID_45; ParticleID_46; ParticleID_47; ParticleID_48; ParticleID_49,104051,26013,0.28062200267176673,0.2806289163110752,0.9365105753893161,0.8617220139928502,0.8617220139928502,0.7744593202883625,0.8330269704820252,0.2905514061702884,0.0875149270619672,1.365746,0.028943,stage05_seed_stability_draft,Разрешен только аудит устойчивости к зернам случайности; строка не является самостоятельным итоговым выводом.
ST05_02_seed_stability_grid,miniboone_hgb_vs_logreg_average_precision_v01,nested_seed_stability_v01,nested_5x2_seed_grid_v01,openml_miniboone_41150,41150,MiniBooNE,signal,False,True,True,20260507,2,1,2,5,2,3,20260508,hist_gradient_boosting,tuned_candidate,hgb_b5168b128e78,"{""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 150, ""max_leaf_nodes"": 63}",0.9577070041517844,16,numeric_particleid_0_49_locked,50,ParticleID_0; ParticleID_1; ParticleID_2; ParticleID_3; ParticleID_4; ParticleID_5; ParticleID_6; ParticleID_7; ParticleID_8; ParticleID_9; ParticleID_10; ParticleID_11; ParticleID_12; ParticleID_13; ParticleID_14; ParticleID_15; ParticleID_16; ParticleID_17; ParticleID_18; ParticleID_19; ParticleID_20; ParticleID_21; ParticleID_22; ParticleID_23; ParticleID_24; ParticleID_25; ParticleID_26; ParticleID_27; ParticleID_28; ParticleID_29; ParticleID_30; ParticleID_31; ParticleID_32; ParticleID_33; ParticleID_34; ParticleID_35; ParticleID_36; ParticleID_37; ParticleID_38; ParticleID_39; ParticleID_40; ParticleID_41; ParticleID_42; ParticleID_43; ParticleID_44; ParticleID_45; ParticleID_46; ParticleID_47; ParticleID_48; ParticleID_49,104051,26013,0.28062200267176673,0.2806289163110752,0.9850871198617326,0.9597174820751314,0.9597174820751314,0.9022352061960731,0.9339801134512744,0.13920291125388748,0.04096069144866867,72.256164,0.139064,stage05_seed_stability_draft,Разрешен только аудит устойчивости к зернам случайности; строка не является самостоятельным итоговым выводом.
ST05_02_seed_stability_grid,miniboone_hgb_vs_logreg_average_precision_v01,nested_seed_stability_v01,nested_5x2_seed_grid_v01,openml_miniboone_41150,41150,MiniBooNE,signal,False,True,True,20260507,2,1,2,5,2,,,dummy_prior,control,not_applicable_control_model,,,,numeric_particleid_0_49_locked,50,ParticleID_0; ParticleID_1; ParticleID_2; ParticleID_3; ParticleID_4; ParticleID_5; ParticleID_6; ParticleID_7; ParticleID_8; ParticleID_9; ParticleID_10; ParticleID_11; ParticleID_12; ParticleID_13; ParticleID_14; ParticleID_15; ParticleID_16; ParticleID_17; ParticleID_18; ParticleID_19; ParticleID_20; ParticleID_21; ParticleID_22; ParticleID_23; ParticleID_24; ParticleID_25; ParticleID_26; ParticleID_27; ParticleID_28; ParticleID_29; ParticleID_30; ParticleID_31; ParticleID_32; ParticleID_33; ParticleID_34; ParticleID_35; ParticleID_36; ParticleID_37; ParticleID_38; ParticleID_39; ParticleID_40; ParticleID_41; ParticleID_42; ParticleID_43; ParticleID_44; ParticleID_45; ParticleID_46; ParticleID_47; ParticleID_48; ParticleID_49,104051,26013,0.28062200267176673,0.2806289163110752,0.5,0.2806289163110752,0.2806289163110752,0.0,0.5,0.5935463243336803,0.20187632768894515,0.003193,0.020051,stage05_seed_stability_draft,Разрешен только аудит устойчивости к зернам случайности; строка не является самостоятельным итоговым выводом.
ST05_02_seed_stability_grid,miniboone_hgb_vs_logreg_average_precision_v01,nested_seed_stability_v01,nested_5x2_seed_grid_v01,openml_miniboone_41150,41150,MiniBooNE,signal,False,True,True,20260507,2,1,2,5,2,,,logistic_regression,control,not_applicable_control_model,,,,numeric_particleid_0_49_locked,50,ParticleID_0; ParticleID_1; ParticleID_2; ParticleID_3; ParticleID_4; ParticleID_5; ParticleID_6; ParticleID_7; ParticleID_8; ParticleID_9; ParticleID_10; ParticleID_11; ParticleID_12; ParticleID_13; ParticleID_14; ParticleID_15; ParticleID_16; ParticleID_17; ParticleID_18; ParticleID_19; ParticleID_20; ParticleID_21; ParticleID_22; ParticleID_23; ParticleID_24; ParticleID_25; ParticleID_26; ParticleID_27; ParticleID_28; ParticleID_29; ParticleID_30; ParticleID_31; ParticleID_32; ParticleID_33; ParticleID_34; ParticleID_35; ParticleID_36; ParticleID_37; ParticleID_38; ParticleID_39; ParticleID_40; ParticleID_41; ParticleID_42; ParticleID_43; ParticleID_44; ParticleID_45; ParticleID_46; ParticleID_47; ParticleID_48; ParticleID_49,104051,26013,0.28062200267176673,0.2806289163110752,0.9407291063497721,0.8691395469763392,0.8691395469763392,0.7751846381093057,0.8329464170026112,0.2836889282012338,0.08480106445434861,1.390413,0.029124,stage05_seed_stability_draft,Разрешен только аудит устойчивости к зернам случайности; строка не является самостоятельным итоговым выводом.
ST05_02_seed_stability_grid,miniboone_hgb_vs_logreg_average_precision_v01,nested_seed_stability_v01,nested_5x2_seed_grid_v01,openml_miniboone_41150,41150,MiniBooNE,signal,False,True,True,20260507,3,1,3,5,2,3,20260509,hist_gradient_boosting,tuned_candidate,hgb_b5168b128e78,"{""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 150, ""max_leaf_nodes"": 63}",0.9567867755088201,16,numeric_particleid_0_49_locked,50,ParticleID_0; ParticleID_1; ParticleID_2; ParticleID_3; ParticleID_4; ParticleID_5; ParticleID_6; ParticleID_7; ParticleID_8; ParticleID_9; ParticleID_10; ParticleID_11; ParticleID_12; ParticleID_13; ParticleID_14; ParticleID_15; ParticleID_16; ParticleID_17; ParticleID_18; ParticleID_19; ParticleID_20; ParticleID_21; ParticleID_22; ParticleID_23; ParticleID_24; ParticleID_25; ParticleID_26; ParticleID_27; ParticleID_28; ParticleID_29; ParticleID_30; ParticleID_31; ParticleID_32; ParticleID_33; ParticleID_34; ParticleID_35; ParticleID_36; ParticleID_37; ParticleID_38; ParticleID_39; ParticleID_40; ParticleID_41; ParticleID_42; ParticleID_43; ParticleID_44; ParticleID_45; ParticleID_46; ParticleID_47; ParticleID_48; ParticleID_49,104051,26013,0.28062200267176673,0.2806289163110752,0.9859230964628648,0.9624413381406594,0.9624413381406594,0.9044507962433647,0.9351241609927609,0.1362336065700937,0.04023392273752418,56.334139,0.146697,stage05_seed_stability_draft,Разрешен только аудит устойчивости к зернам случайности; строка не является самостоятельным итоговым выводом.
ST05_02_seed_stability_grid,miniboone_hgb_vs_logreg_average_precision_v01,nested_seed_stability_v01,nested_5x2_seed_grid_v01,openml_miniboone_41150,41150,MiniBooNE,signal,False,True,True,20260507,3,1,3,5,2,,,dummy_prior,control,not_applicable_control_model,,,,numeric_particleid_0_49_locked,50,ParticleID_0; ParticleID_1; ParticleID_2; ParticleID_3; ParticleID_4; ParticleID_5; ParticleID_6; ParticleID_7; ParticleID_8; ParticleID_9; ParticleID_10; ParticleID_11; ParticleID_12; ParticleID_13; ParticleID_14; ParticleID_15; ParticleID_16; ParticleID_17; ParticleID_18; ParticleID_19; ParticleID_20; ParticleID_21; ParticleID_22; ParticleID_23; ParticleID_24; ParticleID_25; ParticleID_26; ParticleID_27; ParticleID_28; ParticleID_29; ParticleID_30; ParticleID_31; ParticleID_32; ParticleID_33; ParticleID_34; ParticleID_35; ParticleID_36; ParticleID_37; ParticleID_38; ParticleID_39; ParticleID_40; ParticleID_41; ParticleID_42; ParticleID_43; ParticleID_44; ParticleID_45; ParticleID_46; ParticleID_47; ParticleID_48; ParticleID_49,104051,26013,0.28062200267176673,0.2806289163110752,0.5,0.2806289163110752,0.2806289163110752,0.0,0.5,0.5935463243336803,0.20187632768894515,0.00146,0.010082,stage05_seed_stability_draft,Разрешен только аудит устойчивости к зернам случайности; строка не является самостоятельным итоговым выводом.
ST05_02_seed_stability_grid,miniboone_hgb_vs_logreg_average_precision_v01,nested_seed_stability_v01,nested_5x2_seed_grid_v01,openml_miniboone_41150,41150,MiniBooNE,signal,False,True,True,20260507,3,1,3,5,2,,,logistic_regression,control,not_applicable_control_model,,,,numeric_particleid_0_49_locked,50,ParticleID_0; ParticleID_1; ParticleID_2; ParticleID_3; ParticleID_4; ParticleID_5; ParticleID_6; ParticleID_7; ParticleID_8; ParticleID_9; ParticleID_10; ParticleID_11; ParticleID_12; ParticleID_13; ParticleID_14; ParticleID_15; ParticleID_16; ParticleID_17; ParticleID_18; ParticleID_19; ParticleID_20; ParticleID_21; ParticleID_22; ParticleID_23; ParticleID_24; ParticleID_25; ParticleID_26; ParticleID_27; ParticleID_28; ParticleID_29; ParticleID_30; ParticleID_31; ParticleID_32; ParticleID_33; ParticleID_34; ParticleID_35; ParticleID_36; ParticleID_37; ParticleID_38; ParticleID_39; ParticleID_40; ParticleID_41; ParticleID_42; ParticleID_43; ParticleID_44; ParticleID_45; ParticleID_46; ParticleID_47; ParticleID_48; ParticleID_49,104051,26013,0.28062200267176673,0.2806289163110752,0.939928216337774,0.8718836878640097,0.8718836878640097,0.7815480150809492,0.8369118457683435,0.28217382223101917,0.08476433611259147,1.789995,0.030432,stage05_seed_stability_draft,Разрешен только аудит устойчивости к зернам случайности; строка не является самостоятельным итоговым выводом.
ST05_02_seed_stability_grid,miniboone_hgb_vs_logreg_average_precision_v01,nested_seed_stability_v01,nested_5x2_seed_grid_v01,openml_miniboone_41150,41150,MiniBooNE,signal,False,True,True,20260507,4,1,4,5,2,3,20260510,hist_gradient_boosting,tuned_candidate,hgb_8316cb7622a5,"{""l2_regularization"": 0.01, ""learning_rate"": 0.1, ""max_iter"": 150, ""max_leaf_nodes"": 63}",0.9582029903633534,16,numeric_particleid_0_49_locked,50,ParticleID_0; ParticleID_1; ParticleID_2; ParticleID_3; ParticleID_4; ParticleID_5; ParticleID_6; ParticleID_7; ParticleID_8; ParticleID_9; ParticleID_10; ParticleID_11; ParticleID_12; ParticleID_13; ParticleID_14; ParticleID_15; ParticleID_16; ParticleID_17; ParticleID_18; ParticleID_19; ParticleID_20; ParticleID_21; ParticleID_22; ParticleID_23; ParticleID_24; ParticleID_25; ParticleID_26; ParticleID_27; ParticleID_28; ParticleID_29; ParticleID_30; ParticleID_31; ParticleID_32; ParticleID_33; ParticleID_34; ParticleID_35; ParticleID_36; ParticleID_37; ParticleID_38; ParticleID_39; ParticleID_40; ParticleID_41; ParticleID_42; ParticleID_43; ParticleID_44; ParticleID_45; ParticleID_46; ParticleID_47; ParticleID_48; ParticleID_49,104051,26013,0.28062200267176673,0.2806289163110752,0.9847674351359285,0.956542612463578,0.956542612463578,0.9026946107784432,0.9339281716834462,0.140061122345669,0.04105673809025265,63.036387,0.135152,stage05_seed_stability_draft,Разрешен только аудит устойчивости к зернам случайности; строка не является самостоятельным итоговым выводом.
