check_id,source_file,condition_ru,observed_ru,check_result,next_action_ru
scores_row_count,openml_miniboone_research_scores.csv,Ожидается 30 строк: 10 внешних блоков × 3 модели.,Получено строк: 30.,pass,Если fail — остановить интерпретацию и проверить ячейки 18–24.
summary_row_count,openml_miniboone_research_summary.csv,"Ожидается 3 строки сводки: dummy_prior, logistic_regression, hist_gradient_boosting.","Получено строк: 3; модели: dummy_prior, hist_gradient_boosting, logistic_regression.",pass,Если fail — проверить группировку сводки.
model_block_count,openml_miniboone_research_scores.csv,Каждая модель должна иметь 10 внешних блоков.,"Счетчик по моделям: {'dummy_prior': 10, 'logistic_regression': 10, 'hist_gradient_boosting': 10}.",pass,Если fail — проверить цикл RepeatedStratifiedKFold.
status_lock_scores,openml_miniboone_research_scores.csv,Все строки scores должны иметь row_status=research_draft.,Уникальные значения: ['research_draft'].,pass,Если fail — не использовать файл как исследовательский черновик.
status_lock_summary,openml_miniboone_research_summary.csv,Все строки summary должны иметь row_status=research_draft.,Уникальные значения: ['research_draft'].,pass,Если fail — проверить ячейку сводки.
interpretation_boundary,openml_miniboone_research_scores.csv,Все строки должны иметь interpretation_allowed=limited_protocol_review_only.,Уникальные значения: ['limited_protocol_review_only'].,pass,Если fail — остановить повышение статуса.
hyperparameter_tuning_lock,openml_miniboone_research_scores.csv,Все строки должны иметь hyperparameter_tuning_used=no.,Уникальные значения: ['no'].,pass,Если fail — результаты нельзя считать внешней проверкой без вложенного протокола.
feature_count_lock,openml_miniboone_research_scores.csv,Во всех строках должно быть feature_count=50.,Уникальные значения feature_count: [50].,pass,Если fail — проверить замок признаков ParticleID_0 ... ParticleID_49.
cv_split_count,openml_miniboone_research_scores.csv,Ожидается 10 внешних блоков: cv_split_number=1..10.,"Получено: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10].",pass,Если fail — проверить параметры n_splits/n_repeats.
critical_warnings,openml_miniboone_research_warnings.csv,Критических предупреждений быть не должно.,Критических предупреждений: 0; всего предупреждений/ограничений: 1.,pass,Если fail — остановить интерпретацию.
environment_recorded,openml_miniboone_research_environment.csv,Среда выполнения должна быть зафиксирована.,"Записей среды: 6; пакеты: python, platform, openml, sklearn, pandas, numpy.",pass,Если fail — перезапустить ячейку сохранения среды.
