protocol_id,base_protocol_id,object,value,decision_status,decision_ru,rationale_ru,source_reference,locked_before_run
miniboone_nested_cv_v02,miniboone_nested_cv_v01,base_protocol,miniboone_nested_cv_v01,inherited_exact,Наследовать научный контур v01 без изменения зарегистрированных результатов.,v02 является проспективным воспроизводимым продолжением; v01 остаётся историческим эталоном.,data_registry/openml_miniboone_nested_cv_protocol_lock.csv; docs/stages/stage_07_code_modularization.md §39,yes
miniboone_nested_cv_v02,miniboone_nested_cv_v01,candidate_id,openml_miniboone_41150,inherited_exact,Использовать только зарегистрированного кандидата openml_miniboone_41150.,Замена dataset означала бы новый научный scope — границу.,data_registry/dataset_candidate_registry.csv; v01 protocol lock,yes
miniboone_nested_cv_v02,miniboone_nested_cv_v01,openml_dataset_id,41150,inherited_exact,Использовать OpenML dataset id 41150.,Числовой идентификатор исключает неоднозначность имени.,data_registry/openml_metadata_snapshot.csv; v01 evidence,yes
miniboone_nested_cv_v02,miniboone_nested_cv_v01,dataset_name,MiniBooNE,inherited_exact,Использовать MiniBooNE.,Имя фиксируется как provenance — происхождение данных.,data_registry/openml_miniboone_nested_outer_scores.csv,yes
miniboone_nested_cv_v02,miniboone_nested_cv_v01,features,ParticleID_0..ParticleID_49,inherited_exact,Использовать ParticleID_0 ... ParticleID_49 в исходном порядке.,Изменение набора или порядка признаков запрещено.,v01 protocol lock; notebooks/04_dataset_smoke_experiments.ipynb cell 28,yes
miniboone_nested_cv_v02,miniboone_nested_cv_v01,feature_policy_id,numeric_particleid_0_49_locked,inherited_exact,Использовать feature_policy_id numeric_particleid_0_49_locked.,Идентификатор связывает строки результатов с замком признаков.,data_registry/openml_miniboone_nested_outer_scores.csv,yes
miniboone_nested_cv_v02,miniboone_nested_cv_v01,feature_count,50,inherited_exact,Требовать ровно 50 признаков.,Это структурный инвариант протокола.,data_registry/openml_miniboone_nested_quality_checks.csv,yes
miniboone_nested_cv_v02,miniboone_nested_cv_v01,target_name,signal,inherited_exact,Использовать target signal.,Цель не меняется относительно v01.,v01 protocol lock,yes
miniboone_nested_cv_v02,miniboone_nested_cv_v01,target_mapping,False=0;True=1,inherited_exact,Кодировать False как 0 и True как 1.,Сохраняется бинарная семантика метрик.,data_registry/openml_miniboone_nested_outer_scores.csv; src/mlcra/metrics.py,yes
miniboone_nested_cv_v02,miniboone_nested_cv_v01,positive_class,True,inherited_exact,Считать True положительным классом.,Average precision и probability contract зависят от положительного класса.,src/mlcra/metrics.py; data_registry/openml_miniboone_nested_outer_scores.csv,yes
