step_id;target_object;cell_group_ru;planned_action_ru;must_run_models;allowed;blocked;archive_basis;external_basis;expected_future_output;notes_ru
nb00_target_notebook;notebooks/04_dataset_smoke_experiments.ipynb;выбор целевой тетради;использовать существующую пустую тетрадь, предусмотренную структурой проекта;no;yes;создание новой тетради 05 без необходимости;"REPORT_07_dataset_candidate_registry_protocol.md lines 398-402; REPORT_25_openml_feature_preprocessing_protocol.md lines 133-139";not_applicable;not_applicable;само изменение тетради должно идти отдельным шагом в формате Как было -> Как стало
nb01_header_and_safety_notice;notebook_markdown_cell;заголовок и границы эксперимента;зафиксировать, что это диагностический запуск, не финальный эксперимент и не выбор победителя;no;yes;интерпретация результатов как финальных доказательств;REPORT_21_openml_first_diagnostic_contour_plan.md lines 17-27;not_applicable;human_readable_notebook_context;предупреждение должно быть в первой markdown-ячейке
nb02_imports_project_root;notebook_code_cell;импорты и корень проекта;подготовить импорты, настройки pandas и функцию поиска корня проекта;no;yes;жесткие абсолютные пути локального компьютера;"existing notebooks 01 and 02 use find_project_root pattern; REPORT_25 lines 109-119 requires controlled code changes";not_applicable;resolved_project_paths;точный код будет дан в следующем отчете
nb03_load_protocol_files;notebook_code_cell;загрузка протоколов проекта;прочитать реестр кандидатов, планы предобработки, моделей, разбиений и метрик;no;yes;обход CSV-протоколов вручную в коде;"REPORT_22_openml_diagnostic_plan_artifacts.md lines 13-21; REPORT_24 lines 1-14; REPORT_25 lines 9-14";not_applicable;loaded_protocol_tables;тетрадь должна останавливаться, если обязательный файл отсутствует
nb04_load_openml_candidates;notebook_code_cell;загрузка OpenML-кандидатов;загрузить openml_electricity_151, openml_miniboone_41150, openml_click_prediction_small_41434 по утвержденным идентификаторам;no;yes;загрузка новых кандидатов вне реестра;REPORT_21_openml_first_diagnostic_contour_plan.md lines 5-11;OpenML Python client documentation if implementation detail is needed later;loaded_X_y_per_candidate;если OpenML-пакет не установлен, тетрадь должна остановиться с понятным сообщением
nb05_feature_policy_assertions;notebook_code_cell;контроль признаков и пропусков;собрать X строго по openml_feature_preprocessing_plan.csv и остановиться при расхождении признаков или пропусках;no;yes;автоматическое заполнение пропусков без нового протокола;"REPORT_25 lines 47-56; openml_feature_preprocessing_plan.csv lines 2-8";scikit-learn common pitfalls documentation on data leakage;safe_feature_matrices;"date/day/period не входят в X модели electricity; click identifiers исключаются"
nb06_split_primary;notebook_code_cell;основное разбиение данных;создать одно стратифицированное случайное разбиение для каждого кандидата;no;yes;"временное разбиение electricity без аудита порядка; групповое разбиение click без отдельного анализа user_id";"openml_split_protocol_plan.csv lines 2, 6, 10; REPORT_21 lines 64-74";scikit-learn StratifiedShuffleSplit documentation;train_test_indices;повторные разбиения и временной holdout остаются следующими режимами
nb07_model_recipes;notebook_code_cell;модельные рецепты;подготовить DummyClassifier, LogisticRegression внутри Pipeline, HistGradientBoostingClassifier;no;yes;"CatBoost; LightGBM; обязательный RandomForestClassifier; подбор гиперпараметров";"REPORT_24 lines 15-27; openml_model_protocol_plan.csv lines 2-7";"scikit-learn Pipeline documentation; scikit-learn common pitfalls documentation";configured_estimators;масштабирование допустимо только внутри Pipeline
nb08_fit_score;notebook_code_cell;минимальное обучение и оценка;обучить модели на train-части и посчитать метрики на test-части;yes_later;yes_after_notebook_change;обучение до внесения утвержденного изменения тетради;"REPORT_21 lines 84-95; openml_metric_plan.csv lines 2-19";"scikit-learn cross_validate documentation if cross-validation is used later; metrics documentation for exact scorers";score_rows;первый запуск — техническая связность, а не финальный эксперимент
nb09_write_outputs;notebook_code_cell;сохранение черновых диагностических выходов;создать CSV с результатами, предупреждениями и окружением;no;yes;изменение dataset_candidate_registry.csv и карточек наборов данных;REPORT_25 lines 109-119;not_applicable;"data_registry/openml_first_diagnostic_scores.csv; data_registry/openml_first_diagnostic_warnings.csv; data_registry/openml_first_diagnostic_environment.csv";выходы должны иметь статус draft / diagnostic
