change_kind,relative_path,reason
added,.agents/skills/ml-cra-stage-gate/SKILL.md,project stage-gate workflow
added,.agents/skills/ml-cra-stage-gate/agents/openai.yaml,skill UI metadata
added,AGENTS.md,durable repository agent contract
added,docs/agent/ST07_06_agent_baseline_reconciliation_evidence.md,pilot evidence record
added,docs/agent/agent_verification_environment_v01.csv,observed verification environment
added,docs/agent/baseline_manifest_v13.csv,immutable source archive manifest
added,docs/agent/pilot_change_scope_v01.csv,machine-readable allowed change set
added,scripts/agent_verify.py,deterministic baseline and pilot checks
modified,docs/stages/stage_06_packaging_and_publication.md,correct three mandatory artifact paths and clarify historical audit scope
modified,docs/stages/stage_07_code_modularization.md,record accepted ST07_06 and synchronize notebook inventory
modified,roadmap.md,record accepted ST07_06 and next gate
added,configs/project_readiness/stage08_public_product_scope_and_release_train_contract_v01.json,ST08_04 bounded public product and release train design contract
added,data_registry/st08_04_public_product_scope_and_release_train_contract_design_evidence_v01.json,ST08_04 evidence record
added,docs/agent/st08_04_public_product_scope_and_release_train_contract_design_change_scope_v01.csv,ST08_04 exact change scope
added,configs/project_readiness/st08_05_miniboone_lineage_license_attribution_and_release_asset_disposition_v01.json,ST08_05 MiniBooNE lineage license attribution and release asset disposition contract
added,data_registry/st08_05_miniboone_lineage_license_attribution_and_release_asset_disposition_evidence_v01.json,ST08_05 evidence record
added,docs/agent/st08_05_miniboone_lineage_license_attribution_and_release_asset_disposition_change_scope_v01.csv,ST08_05 exact change scope
modified,data_registry/dataset_candidate_registry.csv,ST08_05 reconcile MiniBooNE upstream license metadata and attribution requirement
modified,docs/dataset_selection/cards/dataset_card_openml_miniboone_41150.md,ST08_05 record lineage conflict conservative release control and asset dispositions
added,LICENSE,ST08_06 exact OSI MIT project license text with John-approved copyright holder
added,CITATION.cff,ST08_06 machine-readable software citation identity under CFF 1.2.0
added,DATASET_ATTRIBUTION.md,ST08_06 MiniBooNE UCI OpenML provenance attribution change and no-endorsement notice
added,configs/project_readiness/st08_06_public_repository_asset_manifest_v01.json,ST08_06 fail-closed public repository asset disposition and legal artifact contract
added,data_registry/st08_06_project_license_citation_and_public_repository_legal_artifacts_evidence_v01.json,ST08_06 observed verification evidence and gate disposition
added,docs/agent/st08_06_project_license_citation_and_public_repository_legal_artifacts_change_scope_v01.csv,ST08_06 exact planned and actual change scope
added,docs/stages/stage_08_project_completion_and_release_readiness.md,register post-baseline Stage 8 record and update it for John acceptance of ST08_05 and bounded ST08_06 execution evidence
modified,roadmap.md,record ST08_05 closure ST08_06 outcome and only proposed next block
added,pyproject.toml,ST08_07 standardized development distribution metadata build backend exact dependencies and namespace discovery
added,requirements/locks/st08_07-py312-windows-x86_64.txt,ST08_07 hash-locked base runtime for the only validated clean environment
added,configs/project_readiness/st08_07_python_packaging_dependency_and_clean_environment_contract_v01.json,ST08_07 machine-readable packaging dependency build and environment contract
added,data_registry/st08_07_python_packaging_dependency_and_clean_environment_evidence_v01.json,ST08_07 observed build clean-install and regression evidence
added,docs/agent/st08_07_python_packaging_dependency_and_clean_environment_change_scope_v01.csv,ST08_07 exact planned and actual change scope
added,src/mlcra/application.py,ST08_08 deterministic application service for bounded binary classification audit bundle publication verification and environment diagnosis
added,src/mlcra/cli.py,ST08_08 argparse command surface and controlled exit-code diagnostics
added,src/mlcra/schemas/binary_classification_claim_v01.schema.json,ST08_08 Draft 2020-12 fail-closed claim specification schema
added,configs/project_readiness/st08_08_universal_cli_classification_vertical_slice_contract_v01.json,ST08_08 machine-readable command protocol security and verification contract
added,configs/cli/st08_08_registered_miniboone_software_characterization_claim_v01.json,ST08_08 registered MiniBooNE software-characterization-only CLI fixture
added,tests/test_cli_st08_08.py,ST08_08 focused positive negative integrity no-refit and exit-code tests
added,tests/fixtures/st08_08/binary_claim_v01.json,ST08_08 external synthetic nonlinear binary claim fixture
added,tests/fixtures/st08_08/binary_data_v01.csv,ST08_08 external synthetic nonlinear binary CSV fixture
